id,year,label
1,2006,greater than 30
2,2009,greater than 30
2,2010,greater than 30
2,2011,greater than 30
2,2012,[0-30)
2,2013,greater than 30
2,2014,greater than 30
2,2015,greater than 30
2,2016,greater than 30
3,1997,[0-30)
3,1998,[0-30)
3,1999,[0-30)
3,2000,greater than 30
3,2001,[0-30)
3,2002,[0-30)
3,2004,[0-30)
3,2006,greater than 30
3,2008,greater than 30
3,2010,greater than 30
3,2011,greater than 30
3,2012,greater than 30
3,2013,greater than 30
3,2014,[0-30)
3,2015,[0-30)
3,2016,[0-30)
4,1997,greater than 30
4,1999,greater than 30
4,2001,greater than 30
4,2003,greater than 30
4,2005,greater than 30
4,2007,greater than 30
4,2011,greater than 30
4,2012,greater than 30
4,2013,greater than 30
4,2014,greater than 30
4,2015,greater than 30
4,2016,greater than 30
4,2017,greater than 30
4,2018,greater than 30
5,2008,[0-30)
5,2009,[0-30)
5,2010,[0-30)
5,2011,[0-30)
5,2012,[0-30)
5,2013,[0-30)
5,2014,[0-30)
5,2015,[0-30)
5,2016,[0-30)
5,2017,[0-30)
5,2018,[0-30)
5,2019,[0-30)
6,2009,[0-30)
7,2002,greater than 30
7,2004,greater than 30
7,2006,greater than 30
8,2012,greater than 30
8,2013,greater than 30
8,2014,greater than 30
8,2015,[0-30)
8,2016,[0-30)
8,2017,greater than 30
8,2018,[0-30)
9,2006,[0-30)
9,2007,[0-30)
9,2008,greater than 30
9,2009,greater than 30
9,2010,greater than 30
9,2011,greater than 30
9,2012,greater than 30
9,2013,greater than 30
9,2014,greater than 30
9,2015,greater than 30
9,2016,greater than 30
9,2017,greater than 30
10,2010,greater than 30
10,2011,greater than 30
10,2012,greater than 30
10,2013,greater than 30
10,2014,greater than 30
10,2015,greater than 30
10,2016,greater than 30
10,2017,greater than 30
10,2018,greater than 30
10,2019,[0-30)
11,2014,greater than 30
12,2018,greater than 30
13,2017,greater than 30
13,2018,[0-30)
13,2019,[0-30)
14,2010,greater than 30
15,2014,[0-30)
15,2015,[0-30)
16,2005,[0-30)
16,2006,[0-30)
17,1980,greater than 30
17,1982,greater than 30
17,1983,greater than 30
17,1984,greater than 30
17,1986,greater than 30
17,1987,greater than 30
17,1988,greater than 30
17,1990,greater than 30
17,1991,greater than 30
17,1992,greater than 30
17,1993,greater than 30
17,1994,greater than 30
17,1996,greater than 30
17,1997,greater than 30
17,1998,greater than 30
17,1999,greater than 30
17,2000,greater than 30
17,2002,greater than 30
17,2004,greater than 30
17,2005,greater than 30
17,2006,greater than 30
17,2007,greater than 30
17,2008,greater than 30
17,2010,greater than 30
17,2011,greater than 30
17,2012,greater than 30
17,2013,greater than 30
17,2014,greater than 30
17,2015,greater than 30
17,2016,greater than 30
17,2017,greater than 30
17,2018,greater than 30
17,2019,greater than 30
18,2005,greater than 30
18,2006,greater than 30
18,2007,greater than 30
18,2008,greater than 30
18,2009,greater than 30
18,2010,greater than 30
18,2011,greater than 30
18,2012,greater than 30
18,2013,greater than 30
18,2014,greater than 30
18,2015,greater than 30
18,2016,greater than 30
18,2017,greater than 30
18,2018,[0-30)
19,2005,greater than 30
19,2006,greater than 30
19,2007,greater than 30
19,2008,greater than 30
19,2009,greater than 30
19,2010,greater than 30
19,2011,greater than 30
19,2012,greater than 30
19,2013,greater than 30
19,2014,greater than 30
19,2015,greater than 30
19,2016,greater than 30
19,2017,greater than 30
19,2018,greater than 30
19,2019,greater than 30
20,2015,greater than 30
20,2017,greater than 30
21,2018,[0-30)
21,2019,[0-30)
22,2004,greater than 30
23,1993,[0-30)
23,1995,[0-30)
23,1997,[0-30)
23,2000,[0-30)
23,2005,[0-30)
24,2012,[0-30)
24,2014,[0-30)
25,1984,[0-30)
25,1985,greater than 30
25,1986,[0-30)
25,1987,greater than 30
25,1988,greater than 30
25,1989,[0-30)
25,1990,greater than 30
25,1991,greater than 30
25,1993,[0-30)
25,1995,greater than 30
25,1997,[0-30)
25,1999,greater than 30
25,2001,greater than 30
25,2003,[0-30)
25,2006,greater than 30
25,2007,greater than 30
25,2009,greater than 30
26,2006,[0-30)
26,2008,[0-30)
26,2009,[0-30)
26,2010,[0-30)
26,2011,[0-30)
26,2012,[0-30)
26,2014,[0-30)
27,2010,[0-30)
27,2012,[0-30)
27,2013,[0-30)
27,2014,[0-30)
27,2015,[0-30)
27,2018,[0-30)
28,2005,greater than 30
28,2006,greater than 30
28,2007,greater than 30
28,2008,greater than 30
28,2009,[0-30)
28,2010,greater than 30
28,2011,greater than 30
28,2012,greater than 30
28,2013,greater than 30
28,2014,greater than 30
28,2016,[0-30)
28,2018,[0-30)
28,2019,greater than 30
29,2009,[0-30)
29,2010,[0-30)
30,2002,[0-30)
30,2003,[0-30)
30,2005,[0-30)
30,2007,[0-30)
30,2008,[0-30)
30,2012,greater than 30
31,2007,[0-30)
31,2008,[0-30)
32,2008,[0-30)
32,2009,[0-30)
33,2012,[0-30)
33,2014,[0-30)
34,2013,[0-30)
34,2015,[0-30)
34,2017,[0-30)
35,1972,[0-30)
35,1975,[0-30)
35,1976,greater than 30
35,1978,[0-30)
35,1979,greater than 30
35,1980,[0-30)
35,1981,[0-30)
35,1982,[0-30)
35,1983,greater than 30
35,1984,[0-30)
35,1985,[0-30)
35,1986,greater than 30
35,1987,[0-30)
35,1988,[0-30)
35,1991,[0-30)
35,1992,[0-30)
35,1993,[0-30)
35,1994,greater than 30
35,1995,[0-30)
35,1996,greater than 30
35,1997,[0-30)
35,1998,[0-30)
35,1999,[0-30)
35,2000,[0-30)
35,2001,greater than 30
35,2002,[0-30)
35,2003,greater than 30
35,2004,[0-30)
35,2005,[0-30)
35,2007,[0-30)
35,2016,[0-30)
35,2018,[0-30)
36,2014,[0-30)
36,2016,[0-30)
36,2018,[0-30)
37,2011,greater than 30
38,2007,greater than 30
38,2009,[0-30)
38,2015,greater than 30
38,2016,greater than 30
39,2017,greater than 30
40,2011,greater than 30
41,2011,[0-30)
41,2012,[0-30)
42,2006,[0-30)
42,2007,greater than 30
42,2008,greater than 30
42,2009,[0-30)
42,2010,[0-30)
42,2011,[0-30)
43,1985,[0-30)
43,1986,[0-30)
44,1995,greater than 30
44,1996,[0-30)
44,1997,[0-30)
44,1998,greater than 30
44,2006,greater than 30
44,2007,greater than 30
44,2009,greater than 30
44,2010,greater than 30
44,2011,[0-30)
44,2012,greater than 30
44,2013,[0-30)
44,2014,greater than 30
44,2015,[0-30)
44,2016,greater than 30
44,2017,[0-30)
44,2018,greater than 30
44,2019,[0-30)
45,2003,greater than 30
45,2004,greater than 30
45,2005,greater than 30
45,2013,[0-30)
45,2014,[0-30)
45,2015,[0-30)
45,2017,[0-30)
45,2018,[0-30)
45,2019,[0-30)
46,2008,greater than 30
46,2009,[0-30)
46,2010,greater than 30
47,2003,[0-30)
47,2004,[0-30)
47,2006,[0-30)
47,2009,[0-30)
47,2010,[0-30)
47,2011,[0-30)
47,2012,[0-30)
47,2015,[0-30)
47,2017,[0-30)
48,2008,greater than 30
48,2009,greater than 30
48,2010,greater than 30
49,2005,[0-30)
49,2006,[0-30)
50,2005,greater than 30
50,2007,greater than 30
50,2009,greater than 30
50,2011,greater than 30
50,2013,greater than 30
50,2015,greater than 30
50,2017,greater than 30
51,2009,greater than 30
51,2010,greater than 30
51,2011,greater than 30
51,2012,greater than 30
51,2013,greater than 30
51,2014,greater than 30
51,2015,greater than 30
51,2016,greater than 30
51,2017,greater than 30
51,2018,greater than 30
51,2019,greater than 30
51,2020,[0-30)
52,2002,greater than 30
53,2005,greater than 30
53,2006,greater than 30
53,2007,greater than 30
53,2008,greater than 30
53,2009,greater than 30
53,2010,greater than 30
53,2011,greater than 30
53,2012,greater than 30
53,2013,greater than 30
53,2014,greater than 30
53,2015,greater than 30
53,2016,greater than 30
53,2017,greater than 30
53,2018,greater than 30
53,2019,[0-30)
53,2020,[0-30)
54,1996,greater than 30
54,1997,greater than 30
54,1998,greater than 30
54,1999,[0-30)
54,2000,greater than 30
54,2001,greater than 30
54,2002,greater than 30
54,2003,greater than 30
54,2004,greater than 30
54,2005,greater than 30
54,2006,greater than 30
54,2007,greater than 30
54,2008,greater than 30
54,2009,greater than 30
54,2010,[0-30)
54,2011,greater than 30
54,2012,greater than 30
54,2013,greater than 30
54,2014,greater than 30
54,2015,[0-30)
54,2016,greater than 30
54,2017,greater than 30
54,2018,greater than 30
54,2019,greater than 30
55,2005,[0-30)
56,2012,greater than 30
56,2013,[0-30)
57,2005,greater than 30
57,2006,greater than 30
57,2007,greater than 30
57,2008,greater than 30
57,2009,greater than 30
57,2010,greater than 30
57,2011,greater than 30
57,2012,greater than 30
57,2013,greater than 30
57,2015,greater than 30
57,2016,greater than 30
57,2017,greater than 30
57,2018,greater than 30
58,1979,[0-30)
58,1980,greater than 30
58,1981,greater than 30
58,1982,greater than 30
58,1983,[0-30)
58,1985,greater than 30
58,1986,greater than 30
58,1987,greater than 30
58,1988,greater than 30
58,1989,greater than 30
58,1990,greater than 30
58,1991,greater than 30
58,1992,greater than 30
58,1993,greater than 30
58,1994,greater than 30
58,1995,greater than 30
58,1996,greater than 30
58,1997,greater than 30
58,1998,greater than 30
58,1999,greater than 30
58,2000,greater than 30
58,2001,greater than 30
58,2002,greater than 30
58,2003,greater than 30
58,2004,greater than 30
58,2005,greater than 30
58,2006,greater than 30
58,2007,greater than 30
58,2008,greater than 30
58,2009,greater than 30
58,2010,greater than 30
58,2011,greater than 30
58,2012,greater than 30
58,2013,greater than 30
58,2014,greater than 30
58,2015,greater than 30
58,2016,greater than 30
58,2017,greater than 30
58,2018,greater than 30
58,2019,greater than 30
59,2002,[0-30)
59,2008,[0-30)
59,2009,[0-30)
59,2011,[0-30)
59,2012,[0-30)
59,2016,[0-30)
60,2003,[0-30)
60,2004,[0-30)
60,2005,greater than 30
60,2006,[0-30)
60,2007,[0-30)
60,2008,[0-30)
60,2009,[0-30)
60,2010,[0-30)
60,2011,[0-30)
60,2012,[0-30)
60,2013,[0-30)
60,2014,[0-30)
60,2015,[0-30)
60,2016,[0-30)
60,2017,[0-30)
60,2018,[0-30)
61,2017,[0-30)
61,2018,[0-30)
62,2013,[0-30)
62,2015,[0-30)
62,2017,[0-30)
63,2009,[0-30)
63,2011,greater than 30
63,2013,[0-30)
63,2015,[0-30)
63,2017,[0-30)
64,2016,[0-30)
65,2016,[0-30)
66,2017,[0-30)
66,2018,[0-30)
67,2010,[0-30)
67,2011,[0-30)
67,2012,[0-30)
67,2013,[0-30)
67,2014,[0-30)
67,2015,[0-30)
67,2017,[0-30)
67,2018,[0-30)
68,2014,[0-30)
68,2016,[0-30)
68,2018,[0-30)
69,2003,[0-30)
69,2005,[0-30)
70,2013,greater than 30
71,2015,[0-30)
72,2003,[0-30)
72,2005,[0-30)
73,2010,[0-30)
73,2014,[0-30)
73,2015,[0-30)
73,2016,[0-30)
73,2018,[0-30)
74,2017,[0-30)
75,2016,[0-30)
75,2017,[0-30)
76,2018,[0-30)
77,2012,[0-30)
77,2013,[0-30)
77,2014,[0-30)
78,2009,[0-30)
78,2010,[0-30)
78,2012,[0-30)
79,1998,[0-30)
79,2002,[0-30)
79,2005,[0-30)
79,2007,[0-30)
79,2009,[0-30)
80,2002,[0-30)
80,2003,greater than 30
80,2004,[0-30)
80,2005,greater than 30
80,2006,greater than 30
80,2010,greater than 30
80,2012,greater than 30
80,2013,[0-30)
80,2014,greater than 30
80,2015,[0-30)
80,2017,[0-30)
81,2013,[0-30)
81,2014,[0-30)
81,2015,[0-30)
81,2016,[0-30)
81,2017,[0-30)
81,2018,[0-30)
82,2010,[0-30)
82,2011,[0-30)
82,2012,[0-30)
82,2013,[0-30)
83,2008,greater than 30
84,2013,[0-30)
84,2014,[0-30)
85,2015,[0-30)
85,2016,[0-30)
85,2017,[0-30)
85,2018,greater than 30
86,2014,[0-30)
86,2015,[0-30)
86,2017,[0-30)
87,1993,[0-30)
87,1995,[0-30)
87,1996,[0-30)
87,1997,[0-30)
87,1998,[0-30)
88,2000,[0-30)
88,2013,[0-30)
88,2016,[0-30)
89,2002,[0-30)
89,2004,[0-30)
89,2006,[0-30)
90,2006,[0-30)
91,2014,[0-30)
91,2015,[0-30)
91,2016,[0-30)
92,2017,greater than 30
92,2018,greater than 30
93,2007,greater than 30
93,2009,greater than 30
93,2010,greater than 30
93,2011,[0-30)
93,2012,[0-30)
93,2013,[0-30)
93,2014,[0-30)
93,2015,[0-30)
93,2016,[0-30)
93,2017,[0-30)
93,2018,greater than 30
93,2019,[0-30)
94,2009,greater than 30
94,2010,[0-30)
94,2011,[0-30)
94,2012,[0-30)
94,2015,[0-30)
94,2016,[0-30)
94,2018,[0-30)
95,2017,[0-30)
95,2018,[0-30)
96,2015,[0-30)
96,2016,greater than 30
96,2017,[0-30)
96,2018,greater than 30
97,2017,[0-30)
97,2018,[0-30)
98,2010,[0-30)
98,2014,[0-30)
98,2016,[0-30)
99,2014,[0-30)
99,2015,[0-30)
99,2016,[0-30)
99,2017,[0-30)
99,2018,[0-30)
100,1973,greater than 30
100,1974,greater than 30
100,1975,greater than 30
100,1976,greater than 30
100,1977,greater than 30
100,1978,greater than 30
100,1979,greater than 30
100,1980,greater than 30
100,1981,greater than 30
100,1983,greater than 30
100,1984,greater than 30
100,1985,greater than 30
100,1986,greater than 30
100,1987,greater than 30
100,1988,greater than 30
100,1989,greater than 30
100,1990,greater than 30
100,1991,greater than 30
100,1992,greater than 30
100,1993,greater than 30
100,1994,greater than 30
100,1995,greater than 30
100,1996,[0-30)
100,1997,[0-30)
100,2012,[0-30)
100,2017,greater than 30
101,2004,greater than 30
101,2005,greater than 30
101,2006,greater than 30
101,2007,greater than 30
101,2008,greater than 30
101,2009,greater than 30
101,2010,greater than 30
101,2011,greater than 30
101,2012,greater than 30
101,2013,greater than 30
101,2014,greater than 30
101,2015,greater than 30
101,2016,greater than 30
101,2017,greater than 30
101,2018,[0-30)
102,1995,greater than 30
102,1997,greater than 30
102,2000,greater than 30
102,2002,greater than 30
102,2004,greater than 30
102,2006,greater than 30
102,2008,greater than 30
102,2010,greater than 30
102,2012,greater than 30
102,2014,greater than 30
102,2016,greater than 30
102,2017,greater than 30
102,2018,greater than 30
102,2019,greater than 30
103,2011,greater than 30
103,2013,greater than 30
104,2003,greater than 30
104,2004,greater than 30
104,2005,greater than 30
104,2006,greater than 30
104,2007,greater than 30
104,2008,greater than 30
104,2009,greater than 30
104,2012,greater than 30
104,2013,[0-30)
104,2014,[0-30)
104,2015,greater than 30
104,2016,greater than 30
105,2011,[0-30)
105,2012,[0-30)
105,2013,[0-30)
105,2014,greater than 30
105,2015,greater than 30
105,2016,greater than 30
105,2017,greater than 30
105,2018,greater than 30
106,2003,greater than 30
106,2004,greater than 30
106,2005,[0-30)
106,2006,greater than 30
106,2007,greater than 30
106,2008,greater than 30
106,2009,greater than 30
106,2010,greater than 30
106,2011,greater than 30
106,2012,greater than 30
106,2013,greater than 30
106,2014,greater than 30
106,2015,greater than 30
106,2016,greater than 30
106,2017,greater than 30
106,2018,greater than 30
106,2019,greater than 30
107,2009,greater than 30
107,2010,[0-30)
107,2011,[0-30)
107,2012,[0-30)
107,2013,greater than 30
107,2014,[0-30)
107,2015,greater than 30
107,2016,greater than 30
107,2017,greater than 30
107,2018,greater than 30
108,2000,[0-30)
108,2002,[0-30)
109,2004,[0-30)
109,2005,[0-30)
109,2006,[0-30)
110,1998,[0-30)
111,2017,greater than 30
112,1979,greater than 30
112,1980,greater than 30
112,1982,greater than 30
112,1990,greater than 30
112,1992,greater than 30
112,1995,greater than 30
112,1997,greater than 30
112,1998,greater than 30
112,1999,greater than 30
112,2000,greater than 30
