id,year,count,bin
1,2006,57,0
2,2009,82,0
2,2010,67,0
2,2011,108,1
2,2012,1,0
2,2013,90,0
2,2014,47,0
2,2015,81,0
2,2016,49,0
3,1997,20,0
3,1998,22,0
3,1999,25,0
3,2000,31,0
3,2001,27,0
3,2002,24,0
3,2004,19,0
3,2006,35,0
3,2008,35,0
3,2010,32,0
3,2011,46,0
3,2012,50,0
3,2013,32,0
3,2014,16,0
3,2015,26,0
3,2016,21,0
4,1997,46,0
4,1999,59,0
4,2001,50,0
4,2003,62,0
4,2005,78,0
4,2007,54,0
4,2011,55,0
4,2012,76,0
4,2013,57,0
4,2014,107,1
4,2015,75,0
4,2016,76,0
4,2017,74,0
4,2018,82,0
5,2008,11,0
5,2009,13,0
5,2010,17,0
5,2011,19,0
5,2012,20,0
5,2013,16,0
5,2014,18,0
5,2015,23,0
5,2016,16,0
5,2017,19,0
5,2018,16,0
5,2019,17,0
6,2009,20,0
7,2002,132,1
7,2004,139,1
7,2006,142,1
8,2012,58,0
8,2013,30,0
8,2014,62,0
8,2015,29,0
8,2016,25,0
8,2017,32,0
8,2018,25,0
9,2006,28,0
9,2007,27,0
9,2008,38,0
9,2009,37,0
9,2010,35,0
9,2011,37,0
9,2012,51,0
9,2013,64,0
9,2014,55,0
9,2015,57,0
9,2016,58,0
9,2017,66,0
10,2010,94,0
10,2011,68,0
10,2012,59,0
10,2013,119,1
10,2014,110,1
10,2015,154,1
10,2016,93,0
10,2017,80,0
10,2018,47,0
10,2019,1,0
11,2014,53,0
12,2018,101,1
13,2017,63,0
13,2018,1,0
13,2019,14,0
14,2010,70,0
15,2014,13,0
15,2015,1,0
16,2005,10,0
16,2006,10,0
17,1980,96,0
17,1982,105,1
17,1983,93,0
17,1984,70,0
17,1986,201,2
17,1987,150,1
17,1988,151,1
17,1990,175,1
17,1991,162,1
17,1992,135,1
17,1993,137,1
17,1994,304,3
17,1996,308,3
17,1997,228,2
17,1998,207,2
17,1999,194,1
17,2000,234,2
17,2002,181,1
17,2004,195,1
17,2005,326,3
17,2006,386,3
17,2007,369,3
17,2008,357,3
17,2010,437,4
17,2011,491,4
17,2012,399,3
17,2013,370,3
17,2014,534,5
17,2015,806,8
17,2016,829,8
17,2017,939,9
17,2018,1227,10
17,2019,1399,10
18,2005,41,0
18,2006,109,1
18,2007,138,1
18,2008,155,1
18,2009,142,1
18,2010,176,1
18,2011,106,1
18,2012,128,1
18,2013,82,0
18,2014,111,1
18,2015,85,0
18,2016,58,0
18,2017,84,0
18,2018,11,0
19,2005,130,1
19,2006,200,2
19,2007,213,2
19,2008,176,1
19,2009,185,1
19,2010,158,1
19,2011,134,1
19,2012,99,0
19,2013,124,1
19,2014,103,1
