id,year,count,bin
8,1980,85,0
8,1981,140,1
8,1983,121,1
8,1984,130,1
8,1985,166,1
8,1986,198,1
8,1987,191,1
8,1988,202,2
8,1989,214,2
8,1990,258,2
8,1991,264,2
8,1992,297,2
8,1993,334,3
8,1994,345,3
8,1995,518,5
8,1996,445,4
8,1997,554,5
8,1998,964,9
8,1999,1153,11
8,2000,1400,14
8,2001,1239,12
8,2002,1608,16
8,2003,2010,20
8,2004,2252,22
8,2005,2994,29
8,2006,2961,29
8,2007,3992,39
8,2008,3325,33
8,2009,4037,40
8,2010,3464,34
8,2011,3507,35
8,2012,3383,33
8,2013,3496,34
8,2014,3692,36
8,2015,3846,38
8,2016,3900,39
8,2017,3953,39
8,2018,3816,38
8,2019,2449,24
801,1970,156,1
801,1971,260,2
801,1972,364,3
801,1973,476,4
801,1974,416,4
801,1975,510,5
801,1976,495,4
801,1977,707,7
801,1978,640,6
801,1979,594,5
801,1980,760,7
801,1981,712,7
801,1982,874,8
801,1983,1091,10
801,1984,994,9
801,1985,1248,12
801,1986,1642,16
801,1987,2005,20
801,1988,3198,31
801,1989,2955,29
801,1990,3999,39
801,1991,3581,35
801,1992,4310,43
801,1993,5082,50
801,1994,6014,60
801,1995,6286,62
801,1996,8270,82
801,1997,8068,80
801,1998,9430,94
801,1999,9053,90
801,2000,10301,100
801,2001,9114,91
801,2002,12808,100
801,2003,11551,100
801,2004,17095,100
801,2005,19216,100
801,2006,21479,100
801,2007,21702,100
801,2008,22442,100
801,2009,22417,100
801,2010,25053,100
801,2011,22960,100
801,2012,25400,100
801,2013,24648,100
801,2014,25843,100
801,2015,26562,100
801,2016,29345,100
801,2017,28626,100
801,2018,32172,100
801,2019,15556,100
801,2020,27,0
802,1966,137,1
802,1967,149,1
802,1968,171,1
802,1969,144,1
802,1970,147,1
802,1971,248,2
802,1972,292,2
802,1973,379,3
802,1974,449,4
802,1975,333,3
802,1976,455,4
802,1977,535,5
802,1978,485,4
802,1979,544,5
802,1980,574,5
802,1981,649,6
802,1982,540,5
802,1983,642,6
802,1984,720,7
802,1985,712,7
802,1986,900,9
802,1987,931,9
802,1988,1061,10
802,1989,1228,12
802,1990,1434,14
802,1991,1794,17
802,1992,1976,19
802,1993,2128,21
802,1994,2285,22
802,1995,2322,23
802,1996,2622,26
802,1997,2744,27
802,1998,3045,30
802,1999,2956,29
802,2000,3353,33
802,2001,3622,36
802,2002,4284,42
802,2003,4558,45
802,2004,5812,58
802,2005,5924,59
802,2006,6762,67
802,2007,6864,68
802,2008,6927,69
802,2009,6719,67
802,2010,6432,64
802,2011,6407,64
802,2012,6164,61
802,2013,6790,67
802,2014,6298,62
802,2015,6548,65
802,2016,6694,66
802,2017,6855,68
802,2018,7159,71
802,2019,4746,47
803,1969,44,0
803,1971,47,0
803,1972,68,0
803,1973,141,1
803,1974,144,1
803,1975,155,1
803,1976,261,2
803,1977,153,1
803,1978,358,3
803,1979,394,3
803,1980,252,2
803,1981,344,3
803,1982,220,2
803,1983,327,3
803,1984,336,3
803,1985,436,4
803,1986,455,4
803,1987,538,5
803,1988,761,7
803,1989,981,9
803,1990,874,8
