id,year,label
1,2018,[0-50)
2,1988,[0-50)
2,1989,[0-50)
2,1990,[0-50)
2,1991,[0-50)
2,1993,[0-50)
2,1994,[0-50)
2,1995,[0-50)
3,1979,[0-50)
4,1990,[0-50)
4,1991,[0-50)
4,1992,[0-50)
5,1991,[0-50)
6,1989,[0-50)
6,1990,[0-50)
6,1991,[50-100)
6,1992,[0-50)
6,1999,[0-50)
7,1986,[0-50)
7,1987,[0-50)
7,1988,[0-50)
8,1987,[0-50)
8,1988,[0-50)
8,1989,[0-50)
9,1981,[0-50)
10,1972,[0-50)
10,1973,[0-50)
10,1974,[0-50)
10,1975,[0-50)
10,1978,[0-50)
10,1979,[0-50)
10,1980,[0-50)
11,1992,[0-50)
11,1993,[0-50)
11,1994,[0-50)
11,1995,[0-50)
11,1996,[0-50)
11,1997,[0-50)
11,1998,[0-50)
11,1999,[0-50)
11,2000,[0-50)
11,2001,[0-50)
11,2002,[0-50)
11,2003,[0-50)
11,2004,[0-50)
11,2006,[0-50)
12,2012,[0-50)
13,1997,[0-50)
14,1969,[0-50)
14,1971,[0-50)
14,1974,[0-50)
14,1981,[0-50)
15,1995,[0-50)
16,2011,[0-50)
16,2012,[0-50)
17,1974,[0-50)
18,1996,[0-50)
19,2007,[0-50)
19,2008,[50-100)
19,2009,[0-50)
19,2010,[50-100)
19,2011,[50-100)
19,2012,[50-100)
19,2013,greater than 100
19,2014,[50-100)
19,2015,greater than 100
19,2016,greater than 100
19,2017,greater than 100
19,2018,greater than 100
19,2019,[50-100)
20,2000,[50-100)
20,2001,[50-100)
20,2002,greater than 100
20,2003,greater than 100
20,2004,[50-100)
20,2005,[50-100)
20,2006,[50-100)
20,2007,greater than 100
20,2008,greater than 100
20,2009,greater than 100
20,2010,greater than 100
20,2011,greater than 100
20,2012,greater than 100
20,2013,greater than 100
20,2014,greater than 100
20,2015,greater than 100
20,2016,greater than 100
20,2017,greater than 100
20,2018,greater than 100
20,2019,[50-100)
21,2003,[0-50)
21,2004,[0-50)
21,2005,[0-50)
21,2006,[0-50)
21,2007,[0-50)
21,2008,[0-50)
21,2009,[0-50)
21,2010,[0-50)
21,2011,[0-50)
21,2012,[0-50)
21,2013,[0-50)
21,2014,[0-50)
22,2015,[0-50)
22,2016,[0-50)
22,2017,[0-50)
22,2018,[0-50)
22,2019,[0-50)
23,2013,[50-100)
23,2014,[50-100)
23,2015,[50-100)
23,2016,[50-100)
23,2017,greater than 100
23,2018,[50-100)
23,2019,[0-50)
24,2003,greater than 100
24,2004,greater than 100
24,2005,greater than 100
24,2006,greater than 100
24,2007,greater than 100
24,2008,greater than 100
24,2009,greater than 100
24,2010,greater than 100
24,2011,greater than 100
24,2012,greater than 100
24,2013,greater than 100
24,2014,greater than 100
24,2015,greater than 100
24,2016,greater than 100
24,2017,greater than 100
24,2018,greater than 100
24,2019,greater than 100
25,2017,[50-100)
25,2018,greater than 100
25,2019,greater than 100
25,2020,[0-50)
26,1999,[0-50)
26,2000,[0-50)
26,2001,[0-50)
26,2002,[0-50)
26,2003,[0-50)
26,2004,[0-50)
26,2006,[0-50)
26,2007,[0-50)
26,2008,[0-50)
26,2009,[0-50)
26,2010,[0-50)
26,2011,[0-50)
26,2012,[0-50)
26,2013,[0-50)
26,2015,[0-50)
27,2003,[0-50)
27,2005,[0-50)
27,2006,[0-50)
27,2007,[0-50)
27,2008,[0-50)
27,2009,[0-50)
27,2011,[0-50)
27,2012,[0-50)
27,2013,[0-50)
27,2014,[0-50)
27,2015,[0-50)
27,2016,[0-50)
27,2017,[0-50)
27,2018,[0-50)
27,2019,[0-50)
28,2005,[0-50)
28,2006,[0-50)
28,2007,[0-50)
28,2008,[0-50)
28,2009,[0-50)
28,2010,[0-50)
28,2011,[0-50)
28,2012,[0-50)
28,2013,[0-50)
28,2014,[0-50)
28,2015,[0-50)
28,2016,[0-50)
28,2017,[0-50)
28,2018,[0-50)
28,2019,[0-50)
29,2001,greater than 100
29,2002,greater than 100
29,2003,greater than 100
29,2004,greater than 100
29,2005,greater than 100
29,2006,greater than 100
29,2007,greater than 100
29,2008,greater than 100
29,2009,greater than 100
29,2010,greater than 100
29,2011,greater than 100
29,2012,greater than 100
29,2013,greater than 100
29,2014,greater than 100
29,2015,greater than 100
29,2016,greater than 100
29,2017,greater than 100
29,2018,greater than 100
29,2019,greater than 100
30,1987,[0-50)
30,1988,[50-100)
30,1989,[50-100)
30,1990,[50-100)
30,1991,greater than 100
30,1992,greater than 100
30,1993,greater than 100
30,1994,[50-100)
30,1995,[50-100)
30,1996,[50-100)
30,1997,[50-100)
30,1998,[50-100)
30,1999,[50-100)
30,2000,[50-100)
30,2001,greater than 100
30,2002,[50-100)
30,2003,[0-50)
30,2004,[50-100)
30,2005,[50-100)
30,2006,[50-100)
30,2007,[50-100)
30,2008,[0-50)
30,2009,[50-100)
30,2010,[0-50)
30,2011,[50-100)
30,2012,[50-100)
30,2013,greater than 100
30,2014,[50-100)
30,2015,[50-100)
30,2016,[50-100)
30,2017,[50-100)
30,2018,[50-100)
30,2019,[0-50)
31,2006,[0-50)
31,2007,[0-50)
31,2008,[0-50)
31,2009,[0-50)
31,2010,[0-50)
31,2011,[0-50)
31,2012,[0-50)
31,2013,[0-50)
31,2014,[0-50)
31,2015,[0-50)
31,2016,[0-50)
31,2017,[0-50)
31,2018,[0-50)
31,2019,[0-50)
32,2011,[0-50)
32,2012,[0-50)
32,2013,[0-50)
32,2014,[0-50)
32,2015,[0-50)
32,2016,[0-50)
32,2017,[0-50)
32,2018,[0-50)
32,2019,[0-50)
33,2009,[50-100)
33,2010,[0-50)
33,2011,[0-50)
33,2012,[0-50)
33,2013,[50-100)
33,2014,[0-50)
33,2015,[0-50)
33,2016,[0-50)
33,2017,[0-50)
33,2018,[0-50)
33,2019,[0-50)
34,2010,[0-50)
34,2011,[0-50)
34,2012,[0-50)
34,2013,[0-50)
34,2014,[0-50)
34,2015,[0-50)
34,2016,[0-50)
35,2012,[0-50)
35,2013,[0-50)
35,2014,[0-50)
35,2015,[0-50)
35,2016,[0-50)
35,2017,[0-50)
35,2018,[0-50)
35,2019,[0-50)
36,1997,[0-50)
36,1998,[0-50)
36,1999,[0-50)
36,2000,[0-50)
36,2001,[0-50)
36,2002,[0-50)
36,2003,[0-50)
36,2004,[0-50)
36,2005,[0-50)
36,2006,[0-50)
36,2007,[0-50)
36,2008,[0-50)
36,2009,[0-50)
36,2010,[0-50)
36,2011,[0-50)
36,2012,[0-50)
36,2013,[0-50)
36,2014,[0-50)
36,2015,[0-50)
36,2016,[0-50)
36,2017,[0-50)
36,2018,[0-50)
36,2019,[0-50)
37,2017,[0-50)
37,2018,[0-50)
37,2019,[0-50)
38,1995,[0-50)
38,1996,[0-50)
38,1997,[0-50)
38,1998,[0-50)
38,1999,[0-50)
38,2000,[0-50)
38,2001,[0-50)
38,2002,[0-50)
38,2003,[0-50)
38,2004,[0-50)
38,2005,[0-50)
38,2006,[0-50)
38,2007,[0-50)
38,2010,[0-50)
38,2011,[0-50)
38,2012,[0-50)
38,2013,[0-50)
38,2014,[0-50)
39,2005,[0-50)
39,2006,[0-50)
39,2007,[50-100)
39,2008,[50-100)
39,2009,[50-100)
39,2010,[50-100)
