id,name,year,count
1,meltdownattack.com,2018,2
2,"GTE Laboratories Incorporated",1988,1
2,"GTE Laboratories Incorporated",1989,1
2,"GTE Laboratories Incorporated",1990,1
2,"GTE Laboratories Incorporated",1991,3
2,"GTE Laboratories Incorporated",1993,4
2,"GTE Laboratories Incorporated",1994,1
2,"GTE Laboratories Incorporated",1995,1
3,"University of California at Berkeley",1979,1
4,"ANSI X3H2",1990,2
4,"ANSI X3H2",1991,1
4,"ANSI X3H2",1992,1
5,"ANSI X2H2",1991,1
6,"IWBS Report",1989,34
6,"IWBS Report",1990,38
6,"IWBS Report",1991,53
6,"IWBS Report",1992,32
6,"IWBS Report",1999,1
7,LILOG-Report,1986,4
7,LILOG-Report,1987,20
7,LILOG-Report,1988,29
8,LILOG-Memo,1987,6
8,LILOG-Memo,1988,5
8,LILOG-Memo,1989,1
9,"IBM Publication",1981,3
10,"IBM Research Report",1972,1
10,"IBM Research Report",1973,2
10,"IBM Research Report",1974,1
10,"IBM Research Report",1975,1
10,"IBM Research Report",1978,2
10,"IBM Research Report",1979,2
10,"IBM Research Report",1980,2
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1992,28
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1993,24
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1994,18
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1995,24
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1996,45
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1997,27
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1998,30
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",1999,29
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",2000,13
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",2001,19
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",2002,23
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",2003,6
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",2004,6
11,"Universität Trier, Mathematik/Informatik, Forschungsbericht",2006,3
12,"Technical Report",2012,1
13,"Digital System Research Center Report",1997,1
14,"IBM Research Report, San Jose, California",1969,1
14,"IBM Research Report, San Jose, California",1971,3
14,"IBM Research Report, San Jose, California",1974,1
14,"IBM Research Report, San Jose, California",1981,1
15,"Compulog Newsletter",1995,1
16,"Hydrology and Earth System Sciences",2011,1
16,"Hydrology and Earth System Sciences",2012,1
17,"Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre",1974,1
18,"technical Report 248, ETH Zürich, Dept. of Computer Science",1996,1
19,"Science and Engineering Ethics",2007,43
19,"Science and Engineering Ethics",2008,53
19,"Science and Engineering Ethics",2009,46
19,"Science and Engineering Ethics",2010,61
19,"Science and Engineering Ethics",2011,60
19,"Science and Engineering Ethics",2012,59
19,"Science and Engineering Ethics",2013,108
19,"Science and Engineering Ethics",2014,76
19,"Science and Engineering Ethics",2015,103
19,"Science and Engineering Ethics",2016,112
19,"Science and Engineering Ethics",2017,115
19,"Science and Engineering Ethics",2018,120
19,"Science and Engineering Ethics",2019,78
20,"J. Economic Theory",2000,73
20,"J. Economic Theory",2001,89
20,"J. Economic Theory",2002,128
20,"J. Economic Theory",2003,109
20,"J. Economic Theory",2004,90
20,"J. Economic Theory",2005,69
20,"J. Economic Theory",2006,76
20,"J. Economic Theory",2007,195
20,"J. Economic Theory",2008,107
20,"J. Economic Theory",2009,114
20,"J. Economic Theory",2010,112
20,"J. Economic Theory",2011,113
20,"J. Economic Theory",2012,107
20,"J. Economic Theory",2013,112
20,"J. Economic Theory",2014,131
20,"J. Economic Theory",2015,153
20,"J. Economic Theory",2016,113
20,"J. Economic Theory",2017,104
20,"J. Economic Theory",2018,133
20,"J. Economic Theory",2019,94
21,"Web Intelligence and Agent Systems",2003,18
21,"Web Intelligence and Agent Systems",2004,19
21,"Web Intelligence and Agent Systems",2005,16
21,"Web Intelligence and Agent Systems",2006,24
21,"Web Intelligence and Agent Systems",2007,25
21,"Web Intelligence and Agent Systems",2008,22
21,"Web Intelligence and Agent Systems",2009,24
21,"Web Intelligence and Agent Systems",2010,24
21,"Web Intelligence and Agent Systems",2011,24
21,"Web Intelligence and Agent Systems",2012,32
21,"Web Intelligence and Agent Systems",2013,23
21,"Web Intelligence and Agent Systems",2014,23
22,"Web Intelligence",2015,23
22,"Web Intelligence",2016,21
22,"Web Intelligence",2017,20
22,"Web Intelligence",2018,25
22,"Web Intelligence",2019,23
23,"IEEE Trans. Human-Machine Systems",2013,57
23,"IEEE Trans. Human-Machine Systems",2014,70
23,"IEEE Trans. Human-Machine Systems",2015,77
23,"IEEE Trans. Human-Machine Systems",2016,85
23,"IEEE Trans. Human-Machine Systems",2017,104
23,"IEEE Trans. Human-Machine Systems",2018,64
23,"IEEE Trans. Human-Machine Systems",2019,36
24,"Computers & Chemical Engineering",2003,137
24,"Computers & Chemical Engineering",2004,254
24,"Computers & Chemical Engineering",2005,222
24,"Computers & Chemical Engineering",2006,124
24,"Computers & Chemical Engineering",2007,134
24,"Computers & Chemical Engineering",2008,240
24,"Computers & Chemical Engineering",2009,204
24,"Computers & Chemical Engineering",2010,200
24,"Computers & Chemical Engineering",2011,249
24,"Computers & Chemical Engineering",2012,227
24,"Computers & Chemical Engineering",2013,242
24,"Computers & Chemical Engineering",2014,258
24,"Computers & Chemical Engineering",2015,214
24,"Computers & Chemical Engineering",2016,299
24,"Computers & Chemical Engineering",2017,314
24,"Computers & Chemical Engineering",2018,333
24,"Computers & Chemical Engineering",2019,316
25,"IEEE Control Systems Letters",2017,68
25,"IEEE Control Systems Letters",2018,134
25,"IEEE Control Systems Letters",2019,182
25,"IEEE Control Systems Letters",2020,44
26,"Information, Knowledge, Systems Management",1999,18
26,"Information, Knowledge, Systems Management",2000,12
26,"Information, Knowledge, Systems Management",2001,12
26,"Information, Knowledge, Systems Management",2002,5
26,"Information, Knowledge, Systems Management",2003,8
26,"Information, Knowledge, Systems Management",2004,18
26,"Information, Knowledge, Systems Management",2006,14
26,"Information, Knowledge, Systems Management",2007,16
26,"Information, Knowledge, Systems Management",2008,21
26,"Information, Knowledge, Systems Management",2009,26
26,"Information, Knowledge, Systems Management",2010,13
26,"Information, Knowledge, Systems Management",2011,22
26,"Information, Knowledge, Systems Management",2012,20
26,"Information, Knowledge, Systems Management",2013,8
26,"Information, Knowledge, Systems Management",2015,12
27,"Internet Mathematics",2003,20
27,"Internet Mathematics",2005,18
27,"Internet Mathematics",2006,5
27,"Internet Mathematics",2007,34
27,"Internet Mathematics",2008,24
27,"Internet Mathematics",2009,17
27,"Internet Mathematics",2011,18
27,"Internet Mathematics",2012,18
27,"Internet Mathematics",2013,19
27,"Internet Mathematics",2014,16
27,"Internet Mathematics",2015,28
27,"Internet Mathematics",2016,16
27,"Internet Mathematics",2017,12
27,"Internet Mathematics",2018,5
27,"Internet Mathematics",2019,1
28,IJWIS,2005,19
28,IJWIS,2006,20
28,IJWIS,2007,21
28,IJWIS,2008,20
28,IJWIS,2009,19
28,IJWIS,2010,16
28,IJWIS,2011,18
28,IJWIS,2012,17
28,IJWIS,2013,17
28,IJWIS,2014,22
28,IJWIS,2015,24
28,IJWIS,2016,25
28,IJWIS,2017,26
28,IJWIS,2018,27
28,IJWIS,2019,12
29,"Management Science",2001,115
29,"Management Science",2002,104
29,"Management Science",2003,112
29,"Management Science",2004,152
29,"Management Science",2005,138
29,"Management Science",2006,143
29,"Management Science",2007,136
29,"Management Science",2008,154
29,"Management Science",2009,142
29,"Management Science",2010,155
29,"Management Science",2011,150
29,"Management Science",2012,152
29,"Management Science",2013,178
29,"Management Science",2014,180
29,"Management Science",2015,185
29,"Management Science",2016,206
29,"Management Science",2017,241
29,"Management Science",2018,316
29,"Management Science",2019,203
30,Simulation,1987,34
30,Simulation,1988,71
30,Simulation,1989,90
30,Simulation,1990,97
30,Simulation,1991,125
30,Simulation,1992,114
30,Simulation,1993,100
30,Simulation,1994,87
30,Simulation,1995,86
30,Simulation,1996,80
30,Simulation,1997,66
30,Simulation,1998,87
30,Simulation,1999,94
30,Simulation,2000,71
30,Simulation,2001,108
30,Simulation,2002,64
30,Simulation,2003,49
30,Simulation,2004,53
30,Simulation,2005,62
30,Simulation,2006,61
30,Simulation,2007,60
30,Simulation,2008,49
30,Simulation,2009,51
30,Simulation,2010,45
30,Simulation,2011,66
30,Simulation,2012,99
30,Simulation,2013,100
30,Simulation,2014,82
30,Simulation,2015,64
30,Simulation,2016,74
30,Simulation,2017,77
30,Simulation,2018,74
30,Simulation,2019,44
31,IEEE-RITA,2006,11
31,IEEE-RITA,2007,17
31,IEEE-RITA,2008,16
31,IEEE-RITA,2009,47
31,IEEE-RITA,2010,39
31,IEEE-RITA,2011,36
31,IEEE-RITA,2012,46
31,IEEE-RITA,2013,27
31,IEEE-RITA,2014,22
31,IEEE-RITA,2015,46
31,IEEE-RITA,2016,37
31,IEEE-RITA,2017,28
31,IEEE-RITA,2018,21
31,IEEE-RITA,2019,8
32,"Dynamic Games and Applications",2011,27
32,"Dynamic Games and Applications",2012,25
32,"Dynamic Games and Applications",2013,30
32,"Dynamic Games and Applications",2014,26
32,"Dynamic Games and Applications",2015,29
32,"Dynamic Games and Applications",2016,30
32,"Dynamic Games and Applications",2017,35
32,"Dynamic Games and Applications",2018,43
32,"Dynamic Games and Applications",2019,39
